v1	v2
0.493	2.63
0.652	10.97
0.705	15.60
0.751	20.39
0.812	28.10
0.855	34.57
0.892	40.92
0.955	51.40
1.004	59.47
1.055	67.51
1.100	73.43
1.145	78.20
1.206	82.52
1.241	83.85
1.310	85.28
1.348	85.45
1.398	84.99
1.450	83.55
1.504	81.94
1.551	79.77
1.594	77.67
1.652	74.23
1.705	70.84
1.749	68.19
1.809	64.80
1.853	62.31
1.909	59.25
1.945	57.21
2.006	53.8
2.252	42.82
2.515	33.09
2.755	26.82
3.032	21.75
3.246	19.09
3.502	16.71
3.752	15.0
3.983	13.86
4.258	12.8
4.484	12.02
4.704	11.5
4.964	10.88
5.245	10.62
5.503	10.48
5.597	10.42
5.757	10.30
5.895	10.27
6.004	10.35
6.083	10.36
6.163	10.39
6.250	10.44
6.326	10.45
6.431	10.45
6.510	10.50
6.625	10.57
6.748	10.7
7.030	10.95
7.270	11.16
7.503	11.41
8.025	12.12
8.513	12.80
9.007	13.75
9.495	16.06
10.080	18.00
10.618	19.97
11.148	22.75
11.562	24.21
12.026	27.20